name,token,arb_cond,arb_act,profit
GOVI,0xeeaa40b28a2d1b0b08f6f97bb1dd4b75316c6107,True,Sell Eth at Sushi,0
Everest ID,0xebd9d99a3982d547c5bb4db7e3b1f9f14b67eb83,True,Sell Eth at Uni,0
DAO Maker,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,True,Sell Eth at Uni,0
SuperFarm,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,True,Sell Eth at Uni,0
TOWER,0x1c9922314ed1415c95b9fd453c3818fd41867d0b,True,Sell Eth at Uni,0
DEGEN Index,0x126c121f99e1e211df2e5f8de2d96fa36647c855,True,Sell Eth at Uni,0
SIREN,0xd23ac27148af6a2f339bd82d0e3cff380b5093de,True,Sell Eth at Uni,0
DELTA.financial - deep DeFi derivatives,0x9ea3b5b4ec044b70375236a281986106457b20ef,True,Sell Eth at Sushi,10
IceToken,0xf16e81dce15b08f326220742020379b855b87df9,True,Sell Eth at Uni,0
Signata,0x3ebb4a4e91ad83be51f8d596533818b246f4bee1,True,Sell Eth at Sushi,0
SPLYT SHOPX,0x7bef710a5759d197ec0bf621c3df802c2d60d848,True,Sell Eth at Sushi,0
Illuvium,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,True,Sell Eth at Sushi,0
GAMEE,0xd9016a907dc0ecfa3ca425ab20b6b785b42f2373,True,Sell Eth at Uni,0
Wrapped DogeCoin,0x35a532d376ffd9a705d0bb319532837337a398e7,True,Sell Eth at Sushi,0
Golden Duck,0x378e8c47eb42cce0dd9cff48276a2ab73e9c254f,True,Sell Eth at Uni,0
Unique Utility Token,0xa80f2c8f61c56546001f5fc2eb8d6e4e72c45d4c,True,Sell Eth at Sushi,0
Metis Token,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,True,Sell Eth at Uni,0
SWINGBY token,0x8287c7b963b405b7b8d467db9d79eec40625b13a,True,Sell Eth at Uni,0
Dopex Governance Token,0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,True,Sell Eth at Uni,0
Civilization,0x37fe0f067fa808ffbdd12891c0858532cfe7361d,True,Sell Eth at Sushi,0
TheRedOrder,0x69fe11b042789bc6e2fdaad064afd32bb298ae05,True,Sell Eth at Uni,0
New World Order,0x00c2999c8b2adf4abc835cc63209533973718eb1,True,Sell Eth at Uni,0
Bondly,0x91dfbee3965baaee32784c2d546b7a0c62f268c9,True,Sell Eth at Sushi,0
Doge Protocol,0xe7eaec9bca79d537539c00c58ae93117fb7280b9,True,Sell Eth at Uni,0
Adventure Gold,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,True,Sell Eth at Sushi,0
BLOCKS,0x8a6d4c8735371ebaf8874fbd518b56edd66024eb,True,Sell Eth at Sushi,0
DOSE,0xb31ef9e52d94d4120eb44fe1ddfde5b4654a6515,True,Sell Eth at Uni,0
Keys,0xe0a189c975e4928222978a74517442239a0b86ff,True,Sell Eth at Sushi,2143
ApeCoin,0x4d224452801aced8b2f0aebe155379bb5d594381,True,Sell Eth at Uni,0
Rail,0xe76c6c83af64e4c60245d8c7de953df673a7a33d,True,Sell Eth at Sushi,0
PRIMATE,0x46e98ffe40e408ba6412beb670507e083c8b95ff,True,Sell Eth at Sushi,0
Immutable X,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,True,Sell Eth at Uni,0
